@relation prueba-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0

@attribute score numeric
@attribute ghost1-living {True,False}
@attribute ghost2-living {True,False}
@attribute ghost3-living {True,False}
@attribute ghost4-living {True,False}
@attribute distance-ghost1 numeric
@attribute distance-ghost2 numeric
@attribute distance-ghost3 numeric
@attribute distance-ghost4 numeric
@attribute posX numeric
@attribute posY numeric
@attribute direction {North,South,East,West,Stop}
@attribute wall-east {True,False}
@attribute wall-south {True,False}
@attribute wall-west {True,False}
@attribute wall-north {True,False}
@attribute move {North,South,East,West}

@data
575,False,False,False,True,0,0,0,6,9,5,East,False,False,False,False,East
-2,True,True,True,True,12,10,9,16,1,11,Stop,True,False,False,True,South
375,True,False,False,True,4,0,0,15,6,4,West,False,False,False,False,West
-23,True,True,True,True,3,13,22,22,4,10,North,False,False,False,True,West
529,False,False,True,False,0,0,6,0,23,6,South,False,False,False,False,West
385,True,False,False,True,9,0,0,17,5,9,West,False,False,False,False,West
368,False,False,True,True,0,0,2,6,20,11,West,False,False,False,False,West
376,False,False,True,True,0,0,2,4,4,8,North,False,False,False,False,West
574,False,False,False,True,0,0,0,8,8,8,North,False,False,False,False,North
525,False,False,True,False,0,0,6,0,15,10,West,False,True,False,False,West
365,False,True,False,True,0,0,0,17,14,4,West,False,False,False,False,West
387,True,False,False,True,8,0,0,15,7,11,West,False,True,False,True,West
-17,True,True,True,True,5,6,18,29,3,5,East,False,False,False,False,North
174,False,True,True,True,0,7,5,21,12,7,East,False,False,False,False,North
382,True,False,False,True,1,0,0,11,6,7,South,False,True,False,False,East
365,False,False,True,True,0,0,17,13,10,15,East,False,False,False,False,East
-1,True,True,True,True,11,7,10,24,1,11,Stop,True,False,False,True,East
387,True,False,False,True,13,0,0,10,7,9,East,False,False,False,True,West
-13,True,True,True,True,3,6,12,14,9,5,South,False,False,False,False,West
543,False,False,True,False,0,0,10,0,17,14,East,False,False,False,False,East
386,True,False,False,True,10,0,0,15,6,9,West,False,False,False,False,West
575,False,False,False,True,0,0,0,11,2,4,South,False,False,False,False,East
185,False,True,True,True,0,4,17,10,11,5,East,False,False,False,False,East
179,False,True,True,True,0,6,11,19,11,3,East,False,True,False,False,North
-13,True,True,True,True,2,5,7,17,9,7,West,False,False,False,False,South
-9,True,True,True,True,14,19,24,26,1,12,South,True,False,False,False,South
179,False,True,True,True,0,3,13,2,16,6,East,False,False,False,False,South
-14,True,True,True,True,5,11,23,30,1,6,South,True,False,False,False,South
369,False,True,False,True,0,5,0,9,15,7,South,False,False,False,False,South
381,False,False,True,True,0,0,7,3,3,6,North,False,False,False,False,North
-7,True,True,True,True,7,4,4,11,4,9,East,False,False,False,True,East
380,True,False,False,True,5,0,0,15,1,8,South,True,False,False,False,South
378,True,False,False,True,5,0,0,13,6,5,West,False,False,False,True,West
183,False,True,True,True,0,7,13,20,8,4,East,False,False,False,False,South
-21,True,True,True,True,0,7,16,22,4,8,East,False,False,False,False,North
539,False,False,True,False,0,0,21,0,24,15,West,False,False,False,False,West
348,False,False,True,True,0,0,20,14,10,15,North,False,False,False,False,East
528,False,False,True,False,0,0,5,0,23,9,South,True,False,False,False,South
191,True,True,False,True,10,4,0,16,5,11,North,False,False,False,True,South
572,False,False,False,True,0,0,0,12,14,11,North,False,False,False,False,East
577,False,False,False,True,0,0,0,5,7,5,East,False,False,False,True,East
382,True,False,False,True,3,0,0,12,8,6,South,True,False,False,False,South
-8,True,True,True,True,8,2,7,7,1,11,South,True,False,True,False,South
376,False,False,True,True,0,0,7,29,9,5,North,False,False,False,False,North
-5,True,True,True,True,14,24,21,29,1,17,South,True,False,True,False,South
368,False,False,True,True,0,0,7,9,15,8,North,False,False,False,False,North
382,False,False,True,True,0,0,13,5,14,9,East,False,False,False,False,North
387,True,False,False,True,8,0,0,15,7,11,West,False,True,False,True,West
563,False,False,False,True,0,0,0,8,13,3,South,False,True,False,False,West
-9,True,True,True,True,14,19,24,26,1,12,South,True,False,False,False,South
349,False,False,True,True,0,0,19,13,10,14,North,False,False,True,False,North
-3,True,True,True,True,14,13,9,17,1,16,South,True,False,False,False,South
577,False,False,False,True,0,0,0,5,7,5,East,False,False,False,True,East
384,True,False,False,True,4,0,0,9,7,7,South,False,True,False,False,East
373,False,False,True,True,0,0,2,8,4,9,East,False,False,False,False,North
185,True,True,False,True,4,5,0,2,3,6,East,False,False,False,False,East
-8,True,True,True,True,10,9,7,15,1,13,South,True,False,True,False,South
530,False,False,True,False,0,0,9,0,23,7,South,True,False,False,False,South
180,False,True,True,True,0,6,12,26,6,6,East,False,True,False,False,East
374,False,False,True,True,0,0,1,12,13,10,North,False,False,False,False,East
530,False,False,True,False,0,0,8,0,20,10,South,False,True,False,False,West
541,False,False,True,False,0,0,16,0,23,16,West,False,False,False,True,West
567,False,False,False,True,0,0,0,6,10,4,East,False,False,False,False,North
380,True,False,False,True,3,0,0,16,7,5,West,False,False,False,True,West
360,False,False,True,True,0,0,17,14,12,12,East,False,True,False,True,East
357,False,False,True,True,0,0,13,5,17,14,East,False,False,False,False,East
-1,True,True,True,True,14,8,8,19,1,11,Stop,True,False,False,True,South
195,True,True,False,True,7,4,0,9,5,11,East,False,False,False,True,South
367,False,False,True,True,0,0,18,19,9,14,North,False,False,False,False,North
380,False,False,True,True,0,0,7,6,3,5,North,False,False,False,False,North
528,False,False,True,False,0,0,12,0,18,10,West,False,True,False,False,West
-3,True,True,True,True,14,11,12,17,5,11,East,False,False,False,False,South
363,False,False,True,True,0,0,12,18,11,10,North,False,False,True,False,North
-13,True,True,True,True,6,13,13,30,1,6,South,True,False,False,False,East
377,False,False,True,True,0,0,11,27,9,4,East,False,False,False,False,North
382,False,False,True,True,0,0,3,7,3,5,North,False,False,False,False,North
517,False,False,True,False,0,0,0,0,14,3,South,False,True,False,False,West
385,True,False,False,True,4,0,0,7,7,5,West,False,False,False,True,West
378,True,False,False,True,5,0,0,13,8,5,South,False,False,False,False,West
372,False,False,True,True,0,0,7,23,9,9,North,False,False,False,False,North
343,False,False,True,True,0,0,25,0,25,18,East,False,False,True,True,South
368,False,False,True,True,0,0,2,6,20,11,West,False,False,False,False,West
527,False,False,True,False,0,0,10,0,17,10,West,False,True,False,False,West
576,False,True,False,False,0,9,0,0,4,9,North,False,False,False,False,South
369,False,False,True,True,0,0,12,18,9,10,North,False,False,False,False,North
181,True,False,True,True,3,0,0,10,9,5,South,False,False,False,False,West
377,False,False,True,True,0,0,14,12,14,6,South,False,False,False,False,South
-14,True,True,True,True,2,5,16,21,8,5,West,False,False,False,False,West
524,False,False,True,False,0,0,10,0,14,10,West,False,False,False,False,South
568,False,False,False,True,0,0,0,7,9,6,East,False,False,False,False,East
186,False,True,True,True,0,6,20,12,10,5,East,False,False,False,False,East
371,False,False,True,True,0,0,12,26,9,10,North,False,False,False,False,North
-1,True,True,True,True,12,14,18,21,4,12,Stop,False,False,False,True,East
549,False,False,True,False,0,0,12,0,17,18,North,False,False,False,True,West
369,False,False,True,True,0,0,3,1,21,11,West,False,False,False,False,West
379,True,False,False,True,0,0,0,13,7,5,West,False,False,False,True,West
-9,True,True,True,True,9,10,5,11,1,12,South,True,False,False,False,South
527,False,False,True,False,0,0,13,0,22,16,North,False,False,False,True,West
567,False,False,False,True,0,0,0,6,10,4,East,False,False,False,False,North
-8,True,True,True,True,2,8,12,15,7,8,South,False,False,False,False,East
183,False,True,True,True,0,3,13,15,8,6,North,False,False,False,False,North
388,True,False,False,True,7,0,0,14,8,11,East,False,True,False,True,West
-1,True,True,True,True,13,12,11,21,4,12,Stop,False,False,False,True,South
-1,True,True,True,True,15,16,16,16,1,18,Stop,True,False,False,True,South
-13,True,True,True,True,6,13,13,30,1,6,South,True,False,False,False,East
185,True,False,True,True,7,0,1,8,10,8,South,False,False,True,False,West
580,False,False,False,True,0,0,0,11,4,5,East,False,False,False,True,East
379,True,False,False,True,0,0,0,13,7,5,West,False,False,False,True,West
565,False,False,False,True,0,0,0,10,10,4,East,False,False,False,False,North
